serviceProviderId;attentionPointId;subAccountId;serviceType;readingType;module;description;appliedAgreement;accountingDate;amount;value
102;257;40075;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;24/05/2024;10000;10000
102;257;22225;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;24/05/2024;10000;10000
102;257;39959;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;24/05/2024;10000;10000
102;257;39996;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;24/05/2024;10000;10000
102;257;4800;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;24/05/2024;10000;10000
102;257;1199;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;24/05/2024;10000;10000
102;257;35956;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;25/05/2024;10001;10001
102;257;39763;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;26/05/2024;10001;10001
102;257;27350;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;27/05/2024;10001;10001
102;257;6633;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;28/05/2024;10001;10001
102;257;5588;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;29/05/2024;10001;10001
102;257;10867;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;30/05/2024;10001;10001
102;257;39763;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;31/05/2024;10001;10001
102;257;27350;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;1/06/2024;10001;10001
102;257;16275;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;26/05/2024;10002;10002
102;257;10887;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;27/05/2024;10003;10003
102;257;9451;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;28/05/2024;10004;10004
102;257;12626;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;29/05/2024;10005;10005
102;257;13484;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;30/05/2024;10006;10006
102;257;15396;0;0;E1;Ingreso al servicio;Descuento del 50% por compras en c.c.;31/05/2024;10007;10007
